Timestamp,Nama,"Usia
",Jenis Kelamin,Status Pekerjaan Saat Ini,Platform Media Sosial utama yang sering anda gunakan,Rata-rata waktu yang anda habiskan di media sosial setiap hari,Saya rutin melihat konten yang dipublikasikan oleh influencer di media sosial,Saya menganggap informasi yang dibagikan influencer mengenai produk itu akurat dan jujur,Saya percaya influencer yang saya ikuti benar-benar menggunakan dan menyukai produk yang mereka promosikan,Saya merasa influencer adalah sumber terpercaya untuk menemukan produk baru,Saya lebih percaya rekomendasi influencer daripada iklan tradisional,Saya sering mencari tahu lebih lanjut tentang produk yang dipromosikan oleh influencer ,Saya mempertimbangkan untuk mencoba produk baru setelah melihat ulasan dari influencer,Rekomendasi influencer dapat mengubah merek produk yang biasanya saya beli,Saya lebih cenderung membeli produk jika influencer favorit saya menggunakannya,Konten influencer adalah faktor penting dalam keputusan membeli saya
12/1/2025 15:46:28,moh bimo rionaldo,19,Laki-Laki,SMA/Sederajat,Instagram,Lebih dari 5 jam,1,1,2,2,2,5,3,2,1,1
12/1/2025 16:11:44,K,17,Perempuan,SMA/Sederajat,Instagram,1-3 jam,4,3,3,3,3,4,3,2,2,1
12/1/2025 16:43:45,yuen,19,Perempuan,Pelajar/Mahasiwa,Instagram,Lebih dari 5 jam,4,3,3,4,4,5,5,3,4,4
12/1/2025 16:57:02,mita,19,Perempuan,Pelajar/Mahasiwa,TikTok,Lebih dari 5 jam,4,3,3,4,3,4,4,4,3,3
12/1/2025 16:58:03,Clara,30,Perempuan,Karyawan,Facebook,1-3 jam,4,3,3,3,3,5,4,3,3,3
12/1/2025 17:05:38,Jonathan,27,Laki-Laki,Wirausaha,Instagram,1-3 jam,5,5,5,5,5,5,5,5,5,5
12/1/2025 17:11:27,Ayu kartika,20,Perempuan,Pelajar/Mahasiwa,Instagram,Lebih dari 5 jam,3,3,2,2,2,3,4,4,3,2
12/1/2025 17:26:12,Kajesh,17,Perempuan,Pelajar/Mahasiwa,Instagram,Lebih dari 5 jam,5,3,5,3,3,4,4,4,4,4
12/1/2025 17:36:01,Dhea Paramitha Ramadhani,20,Perempuan,Pelajar/Mahasiwa,TikTok,Lebih dari 5 jam,5,3,3,3,2,4,4,4,2,3
12/1/2025 17:36:30,Jeremiah Pontoh ,19,Laki-Laki,Pelajar/Mahasiwa,Instagram,1-3 jam,4,4,4,4,5,5,5,3,5,5
12/1/2025 17:37:37,Adi Hermawan,19,Laki-Laki,Wirausaha,TikTok,1-3 jam,4,4,4,4,3,4,4,4,4,4
12/1/2025 17:56:35,agung,20,Laki-Laki,Karyawan,TikTok,1-3 jam,4,3,4,4,3,4,5,4,4,4
12/1/2025 17:59:13,Rio Alfin Ananto,20 tahun,Laki-Laki,Pelajar/Mahasiwa,TikTok,<1 jam,5,5,4,5,5,5,5,5,5,5
12/1/2025 18:00:54,Soffi Nur Fatma,19 Tahun,Perempuan,Pelajar/Mahasiwa,TikTok,Lebih dari 5 jam,4,3,3,4,3,4,4,2,2,3
12/1/2025 18:14:00,MUHAMMAD FADILLAH,23,Laki-Laki,Pelajar/Mahasiwa,Instagram,<1 jam,3,3,3,3,3,3,3,3,3,3
12/1/2025 18:20:08,Zidane,20,Laki-Laki,Pelajar/Mahasiwa,TikTok,1-3 jam,3,3,3,3,3,4,4,4,3,4
